Rank,Difficulty,Question,Question Type,Question Category
1,Easy,"Do you see any boats or ships?",Binary,"Visual Cues"
2,Easy,"Do you see one or more of the following vehicles: Bus, Truck, Car, Van, Motorbike, Minibike, Bicycle?",Binary,"Visual Cues"
3,Easy,"Can you see any traffic lights?",Binary,"Visual Cues"
4,Easy,"Can you see any flag?",Binary,"Visual Cues"
5,Easy,"Would you say this location is near the Equator?",Binary,"Geographical localization"
6,Easy,"Does this location seem to be close to the Poles?",Binary,"Geographical localization"
7,Easy,"Is this place located in the Northern Hemisphere?",Binary,"Geographical localization"
8,Easy,"Which continent best describes where this location is?","Multiclass (7 continents: North America/South America/Europe/Africa/Asia/Oceania/Antarctica)","Geographical localization"
9,Medium,"What side of the road do vehicles drive on here?","Multiclass (Left/Right)","Culture/Infrastructure"
10,Medium,"What country is this place located in?",Free-text,"Geographical localization"
11,Medium,"Is this place near coast?",Binary,"Terrain/Environment"
12,Medium,"Does this location appear to be an island?",Binary,"Terrain/Environment"
13,Easy,"Is this place located in a desert region?",Binary,"Terrain/Environment"
14,Easy,"Does this location seem to be in a mountainous or hilly region?",Binary,"Terrain/Environment"
15,Medium,"What is the most likely climate type for this location?","Multiclass (5 main climate types: Tropical/Dry/Temperate/Continental/Polar)","Terrain/Environment"
16,Easy,"Does this place look like a big city?",Binary,"Culture/Infrastructure"
17,Medium,"Would you classify this place as a small town?",Binary,"Culture/Infrastructure"
18,Hard,"What language(s) are most likely spoken at this place?",Free-text,"Culture/Infrastructure"
19,Hard,"Can you name the state or province this place belongs to?",Free-text,"Geographical localization"
20,Hard,"What is the name of the city, town, or village seen here?",Free-text,"Geographical localization"
21,Hard,"Based on everything observed, what are the latitude and longitude coordinates of this place? Please give a tuple of float coordinates (lat, lon)",Free-text,"Exact Location"
